label,oid,gid,c, wbcc, wrn, i, nfb, sscore, len, imn, svtype, wbrc, im, vpc, wbfc, wcn
0,1022:2309351001904123694858410304,777594241511587842,0, 0, 26, 0, 0, 50, 487, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351001014123545855774520,777594237216620546,0, 0, 10, 0, 0, 100, 158, 1, 3, 0, 1, 0, 0, 0
0,1022:2309614123551253796511,777596226726002689,0, 0, 0, 0, 0, 50, 1746, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351000444123615950984378,777602084927176705,0, 0, 202, 0, 0, 100, 605, 0, 3, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123659087933346,777539808037175301,0, 124, 0, 0, 0, 100, 40, 1, 3, 119, 1, 441297, 105, 656
0,1022:2309614123630228393191,777601984132284419,0, 0, 23, 0, 0, 50, 468, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123631692211552,777600228964433921,0, 0, 9, 0, 0, 50, 1062, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123556932112816,776933131692802050,0, 0, 0, 0, 0, 50, 56, 1, 9000, 1, 1, 7812522, 3, 5850
0,1022:2309614123642115038933,777602084927176705,0, 0, 36, 0, 0, 50, 692, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123686604032233,777603794458378241,0, 0, 6, 0, 0, 50, 734, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123539782416358,777598100002832385,0, 0, 0, 0, 0, 50, 398, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123666387449269,777599728869179393,0, 0, 29, 0, 0, 50, 5321, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123276064281840,774940734616240330,0, 101, 0, 0, 0, 50, 54, 1, 9000, 403, 1, 903551, 748, 882
0,1022:2309351000894123579951282247,777209761542176770,0, 0, 10, 0, 0, 100, 1483, 2, 3, 0, 1, 0, 0, 0
0,1022:2309351001824123621843928184,777601122049196039,0, 1, 6, 0, 0, 50, 956, 1, -1, 0, 1, 0, 0, 1
0,1022:2309614123639262936553,777603860627718145,0, 0, 7, 0, 0, 50, 835, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123544698129307,777590386510004227,0, 0, 0, 0, 0, 50, 1029, 0, -1, 0, 0, 0, 0, 0
