label,oid,gid,wbcc, len, wbrc, im, vpc, imn, c, nfb, svtype, wrn, sscore, i, wbfc, wcn
0,1022:2309614123551375433191,777595325319741441,0, 0.0635437881873727, 0, 1, 0, 0.09090909090909091, 0, 0, -1, 0, 0.05263157894736842, 0, 0, 0
1,1022:2309614123541690779534,777598760354054145,0, 0.07787800303652764, 0, 0, 0, 0, 0, 0, -1, 0, 0.06369426751592357, 0, 0, 0
1,1022:2309614123608271188125,777590487575953411,0, 0.07889805097451275, 0, 0, 0, 0, 0, 0, -1, 0.03608247422680412, 0.06666666666666667, 0, 0, 0
0,1042015:articleMblog_4123613788950792,777569657791447041,0.002863278453829635, 0.0907258064516129, 0.0016042780748663102, 1, 0.08332907667256755, 0.08333333333333333, 0, 0, 1, 0, 0.07936507936507936, 0, 0, 0.0833252470924188
0,1042015:articleMblog_4123642566362994,777602959625682945,0.019704433497536946, 0.08987485779294653, 0.051094890510948905, 1, 0.11104535280515854, 0.08333333333333333, 0, 0, 1, 0, 0.08771929824561403, 0, 0.014568158168574402, 0.1111111111111111
0,1022:2309614123703632882353,777604882829934595,0, 0.08947721179624665, 0, 0, 0, 0, 0, 0, -1, 0.11467889908256881, 0.07692307692307693, 0, 0, 0
0,1022:2309351002844123651199895900,777601049034752007,0, 0.07305718037483586, 0, 1, 0, 0.0625, 0, 0, 3, 0.03571428571428571, 0.05472636815920398, 0, 0, 0
0,1022:2309614123537186113802,777593246152916994,0, 0.05109875562615833, 0, 1, 0, 0.125, 0, 0, -1, 0, 0.05102040816326531, 0, 0, 0
0,1022:2309614123633990677323,777603860627718145,0, 0.07778389286369473, 0, 1, 0, 0.1111111111111111, 0, 0, -1, 0.18636363636363637, 0.0625, 0, 0, 0
0,1022:2309614123697853122112,777604958662950914,0, 0.06893667861409797, 0, 0, 0, 0, 0, 0, -1, 0.07241379310344828, 0.058823529411764705, 0, 0, 0
0,1022:2309614123639334198628,777603326306942979,0, 0.08382963364013717, 0, 1, 0, 0.09375, 0, 0, -1, 0.0410958904109589, 0.07142857142857142, 0, 0, 0
0,1022:2309351000194123558627402160,777600280369823745,0, 0.07031572894391633, 0, 0, 0, 0, 0, 0, 3, 0.03773584905660377, 0.09302325581395349, 0, 0, 0
0,1022:2309351000064123544538743101,777600157157949441,0, 0.10160781718378946, 0, 1, 0, 0.047619047619047616, 0, 0, 2, 0.6666666666666666, 0.08064516129032258, 0, 0, 0
0,1042015:articleMblog_4123654067867427,777577860642111490,0.008032128514056224, 0.09584295612009237, 0.0016625103906899418, 1, 0.09957142405336562, 0.09090909090909091, 0, 0, 3, 0, 0.08771929824561403, 0, 0.008356545961002786, 0.09939677068214804
0,1022:2309614123608631903869,777598776862834690,0, 0.08488479262672811, 0, 0, 0, 0, 0, 0, -1, 0.1, 0.0625, 0, 0, 0
0,1022:2309351001904123578932052193,777600475656617989,0, 0.06708969057464709, 0, 0, 0, 0, 0, 0, -1, 0.01293103448275862, 0.04504504504504504, 0, 0, 0
0,1022:2309614123551262232112,777597062231359489,0, 0.05495516210623132, 0, 1, 0, 0.0625, 0, 0, -1, 0, 0.047619047619047616, 0, 0, 0
0,1022:2309614123551383821869,777601347534979074,0, 0.07212140175219024, 0, 0, 0, 0, 0, 0, -1, 0, 0.058823529411764705, 0, 0, 0
